Classe; [M]+; [M-15]+;[M-29]+;[M-90]+;[M-2·90]+;[M-3·90];[M-90-15]+;[M-2·90-15]+;[M-3·90-15];[M-90-29]+;[M-2·90-29]+;[M-103];[M-103-90]+;[M-103-2·90]+;[M-143]+;[M-155]+;[M-140];[M-157];[M-144];m/z 103;m/z 129;m/z 143;m/z 169;m/z 244; m/z 218;m/z 231
2;3;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0
0;3;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;3;0;0;0;0
0;3;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
0;3;3;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;3;2;0;0;0;0
